BTC LTC ETH Y:M:D:h:m:s Ti-T0
979.56 4.42 8.33 2017:01:01:01:01:01 0.0
1013.13 4.56 8.24 2017:01:02:01:01:01 86400.0
1019.53 4.54 8.89 2017:01:03:01:01:01 172800.0
1083.63 4.65 10.56 2017:01:04:01:01:01 259200.0
1055.36 4.45 10.65 2017:01:05:01:01:01 345600.0
937.53 4.06 10.13 2017:01:06:01:01:01 432000.0
877.62 3.89 9.95 2017:01:07:01:01:01 518400.0
924.49 4.03 10.18 2017:01:08:01:01:01 604800.0
899.48 4.07 10.59 2017:01:09:01:01:01 691200.0
906.89 4.46 10.55 2017:01:10:01:01:01 777600.0
852.3 4.27 10.24 2017:01:11:01:01:01 864000.0
791.17 3.96 9.67 2017:01:12:01:01:01 950400.0
812.51 3.99 9.7 2017:01:13:01:01:01 1036800.0
834.84 4.0 9.78 2017:01:14:01:01:01 1123200.0
826.3 3.97 9.92 2017:01:15:01:01:01 1209600.0
834.87 3.92 9.77 2017:01:16:01:01:01 1296000.0
879.99 3.93 10.07 2017:01:17:01:01:01 1382400.0
889.45 3.9 10.27 2017:01:18:01:01:01 1468800.0
897.24 3.89 10.33 2017:01:19:01:01:01 1555200.0
898.51 3.9 10.62 2017:01:20:01:01:01 1641600.0
919.06 3.91 10.8 2017:01:21:01:01:01 1728000.0
928.5 3.89 10.89 2017:01:22:01:01:01 1814400.0
923.55 3.86 10.78 2017:01:23:01:01:01 1900800.0
908.24 3.8 10.64 2017:01:24:01:01:01 1987200.0
897.37 3.74 10.54 2017:01:25:01:01:01 2073600.0
909.23 3.78 10.58 2017:01:26:01:01:01 2160000.0
920.08 3.84 10.53 2017:01:27:01:01:01 2246400.0
924.13 3.88 10.55 2017:01:28:01:01:01 2332800.0
922.76 3.87 10.55 2017:01:29:01:01:01 2419200.0
920.47 3.92 10.52 2017:01:30:01:01:01 2505600.0
944.29 4.08 10.65 2017:01:31:01:01:01 2592000.0
975.59 4.06 10.71 2017:02:01:01:01:01 2678400.0
994.75 4.05 10.7 2017:02:02:01:01:01 2764800.0
1014.16 4.03 10.81 2017:02:03:01:01:01 2851200.0
1019.52 4.0 11.28 2017:02:04:01:01:01 2937600.0
1022.65 3.97 11.29 2017:02:05:01:01:01 3024000.0
1022.32 3.96 11.31 2017:02:06:01:01:01 3110400.0
1043.8 3.98 11.46 2017:02:07:01:01:01 3196800.0
1054.25 3.97 11.41 2017:02:08:01:01:01 3283200.0
1027.61 3.87 11.19 2017:02:09:01:01:01 3369600.0
983.91 3.79 11.15 2017:02:10:01:01:01 3456000.0
1013.77 3.84 11.43 2017:02:11:01:01:01 3542400.0
1012.4 3.81 11.48 2017:02:12:01:01:01 3628800.0
1005.16 3.78 11.39 2017:02:13:01:01:01 3715200.0
1008.49 3.79 12.35 2017:02:14:01:01:01 3801600.0
1012.45 3.85 12.91 2017:02:15:01:01:01 3888000.0
1028.53 3.89 12.83 2017:02:16:01:01:01 3974400.0
1049.92 3.89 12.85 2017:02:17:01:01:01 4060800.0
1066.44 3.9 12.86 2017:02:18:01:01:01 4147200.0
1059.44 3.81 12.9 2017:02:19:01:01:01 4233600.0
1062.84 3.8 12.88 2017:02:20:01:01:01 4320000.0
1104.68 3.83 12.72 2017:02:21:01:01:01 4406400.0
1124.96 3.89 12.8 2017:02:22:01:01:01 4492800.0
1149.44 3.91 12.89 2017:02:23:01:01:01 4579200.0
1187.88 3.93 13.16 2017:02:24:01:01:01 4665600.0
1172.51 3.92 13.44 2017:02:25:01:01:01 4752000.0
1165.41 3.89 13.84 2017:02:26:01:01:01 4838400.0
1189.71 3.88 14.83 2017:02:27:01:01:01 4924800.0
1195.68 3.85 15.98 2017:02:28:01:01:01 5011200.0
1210.37 3.86 16.11 2017:03:01:01:01:01 5097600.0
1245.78 3.91 18.31 2017:03:02:01:01:01 5184000.0
1279.09 4.08 19.88 2017:03:03:01:01:01 5270400.0
1281.62 4.05 19.61 2017:03:04:01:01:01 5356800.0
1267.37 3.98 18.93 2017:03:05:01:01:01 5443200.0
1281.63 4.03 19.66 2017:03:06:01:01:01 5529600.0
1258.84 4.05 19.24 2017:03:07:01:01:01 5616000.0
1196.78 3.91 17.91 2017:03:08:01:01:01 5702400.0
1179.28 3.9 17.37 2017:03:09:01:01:01 5788800.0
1207.92 3.9 18.31 2017:03:10:01:01:01 5875200.0
1181.02 3.86 20.01 2017:03:11:01:01:01 5961600.0
1206.3 3.88 22.58 2017:03:12:01:01:01 6048000.0
1237.88 4.1 27.48 2017:03:13:01:01:01 6134400.0
1247.29 4.23 28.67 2017:03:14:01:01:01 6220800.0
1253.52 4.22 30.52 2017:03:15:01:01:01 6307200.0
1223.74 4.35 41.0 2017:03:16:01:01:01 6393600.0
1130.96 4.22 46.74 2017:03:17:01:01:01 6480000.0
1032.36 4.06 38.69 2017:03:18:01:01:01 6566400.0
1012.91 3.98 39.7 2017:03:19:01:01:01 6652800.0
1035.6 3.98 43.34 2017:03:20:01:01:01 6739200.0
1085.68 4.04 42.86 2017:03:21:01:01:01 6825600.0
1050.92 3.93 40.92 2017:03:22:01:01:01 6912000.0
1035.89 3.97 41.48 2017:03:23:01:01:01 6998400.0
991.87 4.07 46.16 2017:03:24:01:01:01 7084800.0
930.11 4.06 50.25 2017:03:25:01:01:01 7171200.0
974.27 4.08 50.53 2017:03:26:01:01:01 7257600.0
1002.38 4.11 50.39 2017:03:27:01:01:01 7344000.0
1044.62 4.17 49.61 2017:03:28:01:01:01 7430400.0
1035.22 4.23 52.24 2017:03:29:01:01:01 7516800.0
